id,labels,parents,values
PATH|Technology|Software|NYSE,PATH,Technology|Software|NYSE,0.669455
BMPS.MI|Financials|Banks|BIT,BMPS.MI,Financials|Banks|BIT,-0.78465694
MRNA|Healthcare|Biotechnology|NASDAQ,MRNA,Healthcare|Biotechnology|NASDAQ,-7.5131774
ENI.MI|Energy|Oil and Gas|BIT,ENI.MI,Energy|Oil and Gas|BIT,-0.6588207
UNI.MI|Financial|Insurance|BIT,UNI.MI,Financial|Insurance|BIT,1.643732
A2A.MI|Utilities|Electric Utilities|BIT,A2A.MI,Utilities|Electric Utilities|BIT,-1.5312638
BBVA.MC|Financials|Banks|BME,BBVA.MC,Financials|Banks|BME,1.7559717
BAMI.MI|Financials|Banking|BIT,BAMI.MI,Financials|Banking|BIT,0.16098243
LDO.MI|Industrials|Aerospace and Defense|BIT,LDO.MI,Industrials|Aerospace and Defense|BIT,-1.5088314
NEXI.MI|Financials|Financial Services|BIT,NEXI.MI,Financials|Financial Services|BIT,0.96153754
ELE.MC|Utilities|Electric Utilities|BME,ELE.MC,Utilities|Electric Utilities|BME,-0.7530101
IFX.DE|Technology|Semiconductors|XETRA,IFX.DE,Technology|Semiconductors|XETRA,-3.8627226
FCT.MI|Industrials|Shipbuilding|BIT,FCT.MI,Industrials|Shipbuilding|BIT,4.1839285
RACE.MI|Consumer Cyclical|Auto Manufacturers|BIT,RACE.MI,Consumer Cyclical|Auto Manufacturers|BIT,1.4886811
ENR.DE|Industrials|Energy Equipment and Services|XETRA,ENR.DE,Industrials|Energy Equipment and Services|XETRA,-2.2604725
CBK.DE|Financials|Banking|XETRA,CBK.DE,Financials|Banking|XETRA,0.0
MCHI|Financial|ETF|NASDAQ,MCHI,Financial|ETF|NASDAQ,-0.018471165
SMCI|Technology|Computer Hardware|NASDAQ,SMCI,Technology|Computer Hardware|NASDAQ,-8.218665
PST.MI|Financials|Diversified Financial Services|BIT,PST.MI,Financials|Diversified Financial Services|BIT,-1.8767729
ORCL|Information Technology|Software|NYSE,ORCL,Information Technology|Software|NYSE,-6.24953
AZM.MI|Financials|Asset Management|BIT,AZM.MI,Financials|Asset Management|BIT,-0.32600582
SPCX|Industrials|Aerospace and Defense|NASDAQ,SPCX,Industrials|Aerospace and Defense|NASDAQ,-3.0753336
LUNR|Industrials|Space and Satellite Technology|NASDAQ,LUNR,Industrials|Space and Satellite Technology|NASDAQ,-9.494954
STLAM.MI|Consumer Cyclical|Auto Manufacturers|BIT,STLAM.MI,Consumer Cyclical|Auto Manufacturers|BIT,1.6260184
